1630589271.1686041,837.0,838.0,667.0
1630589271.47999,838.0,838.0,662.0
1630589271.7911968,834.0,837.0,662.0
1630589272.1024332,835.0,836.0,661.0
1630589272.413973,832.0,835.0,662.0
1630589272.7251756,835.0,834.0,662.0
1630589273.0365095,840.0,835.0,665.0
1630589273.347883,838.0,836.0,662.0
1630589273.6591065,836.0,836.0,662.0
1630589273.9703634,839.0,837.0,663.0
1630589274.2856956,838.0,838.0,663.0
1630589274.596765,838.0,837.0,662.0
1630589274.9083676,837.0,837.0,661.0
1630589275.2197864,832.0,836.0,662.0
1630589275.5310957,841.0,837.0,663.0
1630589275.8422737,839.0,837.0,663.0
1630589276.15372,839.0,837.0,661.0
1630589276.4649124,836.0,837.0,663.0
1630589276.7762678,835.0,838.0,660.0
1630589277.0876403,832.0,836.0,662.0
1630589277.3988745,837.0,835.0,661.0
1630589277.7103739,838.0,835.0,663.0
1630589278.0255485,841.0,836.0,662.0
1630589278.3367176,836.0,836.0,662.0
1630589278.647986,837.0,837.0,665.0
1630589278.9596229,838.0,838.0,662.0
1630589279.270924,834.0,837.0,663.0
1630589279.5822785,836.0,836.0,663.0
1630589279.8935266,842.0,837.0,663.0
1630589280.2047853,842.0,838.0,661.0
1630589280.5162232,839.0,838.0,661.0
1630589280.8273559,836.0,839.0,662.0
1630589281.1388447,836.0,839.0,660.0
1630589281.4542606,840.0,838.0,663.0
1630589281.765296,839.0,838.0,663.0
1630589282.076643,837.0,837.0,667.0
1630589282.3878996,842.0,838.0,663.0
1630589282.6993709,838.0,839.0,662.0
1630589283.0105205,837.0,838.0,662.0
1630589283.3220522,838.0,838.0,661.0
1630589283.6330786,835.0,838.0,663.0
1630589283.944652,837.0,837.0,663.0
1630589284.2559352,839.0,837.0,660.0
1630589284.567026,838.0,837.0,662.0
1630589284.8785808,835.0,836.0,663.0
1630589285.1939056,837.0,837.0,663.0
1630589285.5052795,841.0,838.0,664.0
1630589285.816161,837.0,837.0,662.0
1630589286.1277542,841.0,838.0,662.0
1630589286.4390507,838.0,838.0,662.0
1630589286.7503104,837.0,838.0,667.0
1630589287.0618594,843.0,839.0,663.0
1630589287.3730757,836.0,839.0,663.0
1630589287.6845045,837.0,838.0,667.0
1630589287.9958076,842.0,839.0,663.0
1630589288.3071325,839.0,839.0,662.0
1630589288.6223516,835.0,837.0,661.0
1630589288.933437,836.0,837.0,661.0
1630589289.2450256,839.0,838.0,661.0
1630589289.556161,836.0,837.0,660.0
1630589289.867637,836.0,836.0,663.0
1630589290.1786573,835.0,836.0,663.0
1630589290.4901986,839.0,837.0,660.0
1630589290.8012934,838.0,836.0,662.0
1630589291.1128607,837.0,837.0,663.0
1630589291.424511,838.0,837.0,660.0
1630589291.7356176,834.0,837.0,661.0
1630589292.046864,837.0,836.0,663.0
1630589292.362266,840.0,837.0,660.0
1630589292.6734295,836.0,837.0,661.0
1630589292.98469,836.0,836.0,661.0
1630589293.2962852,836.0,837.0,661.0
1630589293.6072147,836.0,836.0,663.0
1630589293.9187875,837.0,836.0,663.0
1630589294.2300935,839.0,836.0,660.0
1630589294.5412054,838.0,837.0,661.0
1630589294.8527749,843.0,838.0,662.0
1630589295.163956,838.0,839.0,661.0
1630589295.475422,837.0,839.0,663.0
1630589295.7867,842.0,839.0,663.0
1630589296.1020103,839.0,839.0,663.0
1630589296.4130461,833.0,837.0,667.0
1630589296.724505,841.0,838.0,663.0
1630589297.0356405,838.0,838.0,663.0
1630589297.3473258,839.0,838.0,661.0
1630589297.658511,838.0,837.0,660.0
1630589297.969985,839.0,839.0,661.0
1630589298.2810252,835.0,837.0,661.0
1630589298.5922937,837.0,837.0,662.0
1630589298.9039261,840.0,837.0,663.0
1630589299.2152138,838.0,837.0,662.0
1630589299.5305018,836.0,837.0,662.0
1630589299.8418152,837.0,837.0,663.0
1630589300.153145,840.0,838.0,662.0
1630589300.4645393,840.0,838.0,662.0
1630589300.7758315,837.0,838.0,662.0
1630589301.086778,840.0,838.0,660.0
1630589301.398405,836.0,838.0,661.0
1630589301.7096648,833.0,837.0,666.0
1630589302.0211,837.0,836.0,667.0
1630589302.3324523,836.0,836.0,666.0
1630589302.6436567,836.0,835.0,663.0
1630589302.9550614,835.0,835.0,662.0
1630589303.2701786,836.0,836.0,663.0
1630589303.581345,837.0,836.0,664.0
1630589303.8929098,843.0,837.0,662.0
1630589304.204037,839.0,838.0,661.0
1630589304.5153244,837.0,838.0,660.0
1630589304.8266501,836.0,838.0,662.0
1630589305.138209,839.0,838.0,663.0
1630589305.4494565,838.0,837.0,660.0
1630589305.7605286,832.0,836.0,663.0
1630589306.072241,837.0,836.0,665.0
1630589306.383466,841.0,837.0,663.0
1630589306.6987498,841.0,837.0,663.0
1630589307.0101755,843.0,838.0,662.0
1630589307.3214316,837.0,839.0,661.0
1630589307.632783,840.0,840.0,666.0
1630589307.944085,843.0,840.0,662.0
1630589308.2553585,838.0,840.0,663.0
1630589308.5666382,839.0,839.0,661.0
1630589308.8780794,834.0,838.0,663.0
1630589309.1891418,837.0,838.0,665.0
1630589309.500825,837.0,837.0,663.0
1630589309.812001,836.0,836.0,662.0
1630589310.1232474,835.0,835.0,658.0
1630589310.4385507,838.0,836.0,661.0
1630589310.7497911,837.0,836.0,664.0
1630589311.0612192,839.0,837.0,663.0
1630589311.3725688,839.0,837.0,661.0
1630589311.6839077,837.0,838.0,664.0
1630589311.9949594,836.0,837.0,663.0
1630589312.3063676,836.0,837.0,663.0
1630589312.6179852,843.0,838.0,663.0
1630589312.9290404,837.0,837.0,661.0
1630589313.2403958,838.0,838.0,659.0
1630589313.5519774,838.0,838.0,661.0
1630589313.8627748,836.0,838.0,667.0
1630589314.1782453,841.0,838.0,663.0
1630589314.48973,839.0,838.0,663.0
1630589314.8011634,838.0,838.0,662.0
1630589315.1123147,836.0,838.0,661.0
1630589315.4237194,836.0,838.0,666.0
1630589315.7350113,837.0,837.0,664.0
1630589316.0464246,837.0,836.0,662.0
1630589316.3576908,834.0,836.0,661.0
1630589316.6690989,836.0,836.0,664.0
1630589316.9803228,839.0,836.0,663.0
1630589317.2916214,837.0,836.0,660.0
1630589317.6069033,836.0,836.0,663.0
1630589317.918181,837.0,837.0,661.0
1630589318.2295637,836.0,837.0,661.0
1630589318.5408757,837.0,836.0,667.0
1630589318.852129,836.0,836.0,662.0
1630589319.1635215,836.0,836.0,661.0
1630589319.47474,841.0,837.0,661.0
1630589319.7858877,839.0,837.0,662.0
1630589320.097534,839.0,838.0,662.0
1630589320.4087322,837.0,838.0,663.0
1630589320.7201505,837.0,838.0,663.0
1630589321.031406,843.0,839.0,662.0
1630589321.3465924,836.0,838.0,662.0
1630589321.6578603,836.0,837.0,666.0
1630589321.969338,835.0,837.0,662.0
1630589322.2805994,836.0,837.0,662.0
1630589322.5917373,840.0,836.0,662.0
1630589322.9033947,839.0,837.0,662.0
1630589323.2144043,838.0,837.0,660.0
1630589323.5257318,835.0,837.0,663.0
1630589323.8371696,840.0,838.0,662.0
1630589324.1484532,838.0,838.0,661.0
1630589324.4598794,836.0,837.0,660.0
1630589324.7749562,837.0,837.0,660.0
1630589325.086467,834.0,837.0,660.0
1630589325.3979282,836.0,836.0,661.0
1630589325.7089407,839.0,836.0,664.0
1630589326.0204244,836.0,836.0,662.0
1630589326.331648,843.0,837.0,662.0
1630589326.6431594,836.0,838.0,663.0
1630589326.9545403,837.0,838.0,662.0
1630589327.2655556,836.0,837.0,663.0
1630589327.5770085,837.0,837.0,662.0
1630589327.8884366,834.0,836.0,661.0
1630589328.1995676,837.0,836.0,665.0
1630589328.5149941,841.0,837.0,662.0
1630589328.826141,836.0,837.0,661.0
1630589329.137687,837.0,837.0,662.0
1630589329.4489288,837.0,837.0,663.0
1630589329.7603164,836.0,837.0,661.0
1630589330.0715163,834.0,836.0,663.0
1630589330.3829365,837.0,836.0,662.0
1630589330.6942277,835.0,835.0,660.0
1630589331.0053942,832.0,834.0,661.0
1630589331.3165944,836.0,834.0,666.0
1630589331.6282718,842.0,836.0,661.0
1630589331.9433346,839.0,836.0,661.0
1630589332.2548153,838.0,837.0,660.0
1630589332.565911,834.0,837.0,663.0
1630589332.8773103,838.0,838.0,663.0
1630589333.1887734,836.0,837.0,664.0
1630589333.5001295,837.0,836.0,667.0
1630589333.8114336,837.0,836.0,664.0
1630589334.1231544,837.0,837.0,666.0
1630589334.4342384,834.0,836.0,661.0
