1630425759.199866,686.0,686.0,709.0
1630425759.5111547,683.0,685.0,710.0
1630425759.8224304,689.0,686.0,713.0
1630425760.1336472,685.0,685.0,713.0
1630425760.4450755,691.0,686.0,706.0
1630425760.7563124,687.0,687.0,708.0
1630425761.0675738,694.0,689.0,710.0
1630425761.3789775,684.0,688.0,711.0
1630425761.6901832,684.0,688.0,709.0
1630425762.001456,688.0,687.0,708.0
1630425762.312757,691.0,688.0,709.0
1630425762.6241388,686.0,686.0,710.0
1630425762.939279,688.0,687.0,709.0
1630425763.250517,691.0,688.0,710.0
1630425763.561977,686.0,688.0,706.0
1630425763.8732572,691.0,688.0,710.0
1630425764.1844537,684.0,688.0,709.0
1630425764.4957795,685.0,687.0,709.0
1630425764.80705,689.0,687.0,708.0
1630425765.1183553,690.0,687.0,708.0
1630425765.4296036,689.0,687.0,709.0
1630425765.7408292,688.0,688.0,710.0
1630425766.0521576,686.0,688.0,710.0
1630425766.3674574,686.0,687.0,710.0
1630425766.6787107,686.0,687.0,708.0
1630425766.989968,688.0,686.0,709.0
1630425767.3012908,685.0,686.0,709.0
1630425767.6126142,690.0,687.0,709.0
1630425767.9239545,687.0,687.0,710.0
1630425768.2351718,687.0,687.0,709.0
1630425768.5464447,690.0,687.0,708.0
1630425768.857505,684.0,687.0,709.0
1630425769.1690207,689.0,687.0,712.0
1630425769.4802845,691.0,688.0,711.0
1630425769.7914705,684.0,687.0,709.0
1630425770.1068237,688.0,687.0,709.0
1630425770.4181333,689.0,688.0,711.0
1630425770.7294707,688.0,688.0,708.0
1630425771.0406952,686.0,687.0,710.0
1630425771.35205,687.0,687.0,710.0
1630425771.6632407,689.0,687.0,708.0
1630425771.9746087,687.0,687.0,711.0
1630425772.2857661,687.0,687.0,713.0
1630425772.5971558,690.0,688.0,710.0
1630425772.9083009,687.0,688.0,713.0
1630425773.2197576,690.0,688.0,708.0
1630425773.5350003,680.0,686.0,709.0
1630425773.8462055,687.0,686.0,709.0
1630425774.157524,685.0,685.0,710.0
1630425774.468867,687.0,685.0,713.0
1630425774.7800968,688.0,685.0,708.0
1630425775.0913413,687.0,686.0,709.0
1630425775.402753,687.0,686.0,710.0
1630425775.7139654,685.0,686.0,713.0
1630425776.025294,691.0,687.0,710.0
1630425776.3366024,689.0,687.0,709.0
1630425776.647803,688.0,688.0,709.0
1630425776.9591563,694.0,689.0,710.0
1630425777.2744067,690.0,690.0,709.0
1630425777.5853603,686.0,689.0,711.0
1630425777.897161,689.0,689.0,714.0
1630425778.2082365,687.0,689.0,709.0
1630425778.5195448,687.0,687.0,714.0
1630425778.8307858,690.0,687.0,708.0
1630425779.142105,683.0,687.0,711.0
1630425779.4534678,689.0,687.0,710.0
1630425779.764568,685.0,686.0,713.0
1630425780.075904,685.0,686.0,706.0
1630425780.3873386,688.0,686.0,711.0
1630425780.702399,690.0,687.0,711.0
1630425781.0137343,687.0,687.0,710.0
