1631876074.609,905.0,905.0
1631876074.908,905.0,905.0
1631876075.207,907.0,905.0
1631876075.506,905.0,905.0
1631876075.809,906.0,905.0
1631876076.108,905.0,905.0
1631876076.407,906.0,905.0
1631876076.71,905.0,905.0
1631876077.009,905.0,905.0
1631876077.308,905.0,905.0
1631876077.611,906.0,905.0
1631876077.91,906.0,905.0
1631876078.209,906.0,905.0
1631876078.512,905.0,905.0
1631876078.811,905.0,905.0
1631876079.111,906.0,905.0
1631876079.41,904.0,905.0
1631876079.713,905.0,905.0
1631876080.012,905.0,905.0
1631876080.31,904.0,905.0
1631876080.613,904.0,905.0
1631876080.913,905.0,905.0
1631876081.212,905.0,904.0
1631876081.515,905.0,904.0
1631876081.814,906.0,904.0
1631876082.113,906.0,904.0
1631876082.416,905.0,904.0
1631876082.715,906.0,905.0
1631876083.014,905.0,905.0
1631876083.313,908.0,905.0
1631876083.616,908.0,905.0
1631876083.915,905.0,905.0
1631876084.214,906.0,905.0
1631876084.517,904.0,906.0
1631876084.816,905.0,905.0
1631876085.115,905.0,905.0
1631876085.418,906.0,905.0
1631876085.717,905.0,905.0
1631876086.016,906.0,905.0
1631876086.319,905.0,905.0
1631876086.618,905.0,905.0
1631876086.917,905.0,905.0
1631876087.216,906.0,905.0
1631876087.519,905.0,905.0
1631876087.818,905.0,905.0
1631876088.117,906.0,905.0
1631876088.42,905.0,905.0
1631876088.719,906.0,905.0
1631876089.018,905.0,905.0
1631876089.321,907.0,905.0
1631876089.62,906.0,905.0
1631876089.919,908.0,905.0
1631876090.222,904.0,905.0
1631876090.521,905.0,905.0
1631876090.821,905.0,905.0
1631876091.12,905.0,905.0
1631876091.423,905.0,905.0
1631876091.721,907.0,905.0
1631876092.02,905.0,905.0
1631876092.324,905.0,905.0
1631876092.623,906.0,905.0
1631876092.922,905.0,905.0
1631876093.225,905.0,905.0
1631876093.524,904.0,905.0
1631876093.823,905.0,905.0
1631876094.126,905.0,905.0
1631876094.425,905.0,905.0
1631876094.724,904.0,905.0
1631876095.023,906.0,904.0
1631876095.326,905.0,905.0
1631876095.625,905.0,905.0
1631876095.924,905.0,904.0
1631876096.227,906.0,904.0
1631876096.526,905.0,905.0
1631876096.825,907.0,905.0
1631876097.128,906.0,905.0
1631876097.427,907.0,905.0
1631876097.726,905.0,905.0
1631876098.029,907.0,905.0
1631876098.328,906.0,905.0
1631876098.627,906.0,905.0
1631876098.926,905.0,906.0
1631876099.229,905.0,906.0
1631876099.528,906.0,905.0
1631876099.827,907.0,906.0
1631876100.13,905.0,906.0
1631876100.429,904.0,905.0
1631876100.728,905.0,905.0
1631876101.031,906.0,905.0
1631876101.33,904.0,905.0
1631876101.629,906.0,905.0
1631876101.932,908.0,905.0
1631876102.231,905.0,905.0
1631876102.53,905.0,905.0
1631876102.83,907.0,905.0
1631876103.132,905.0,905.0
1631876103.431,905.0,905.0
1631876103.73,905.0,905.0
1631876104.033,907.0,905.0
1631876104.333,907.0,905.0
1631876104.631,907.0,906.0
1631876104.934,909.0,906.0
1631876105.234,907.0,906.0
1631876105.533,906.0,906.0
1631876105.836,905.0,906.0
1631876106.135,907.0,906.0
1631876106.434,905.0,906.0
1631876106.733,904.0,906.0
1631876107.036,906.0,906.0
1631876107.335,906.0,906.0
1631876107.634,906.0,906.0
1631876107.937,905.0,906.0
1631876108.236,906.0,905.0
1631876108.535,909.0,905.0
1631876108.838,907.0,905.0
1631876109.137,906.0,906.0
1631876109.436,906.0,906.0
1631876109.739,906.0,906.0
1631876110.038,905.0,906.0
1631876110.337,906.0,906.0
1631876110.636,907.0,906.0
1631876110.939,907.0,906.0
1631876111.238,906.0,906.0
1631876111.537,906.0,906.0
1631876111.84,908.0,906.0
1631876112.139,906.0,906.0
1631876112.438,906.0,906.0
1631876112.741,906.0,906.0
1631876113.04,905.0,906.0
1631876113.339,906.0,906.0
1631876113.642,906.0,906.0
1631876113.941,905.0,906.0
1631876114.24,906.0,906.0
1631876114.543,906.0,906.0
1631876114.842,905.0,906.0
1631876115.141,905.0,905.0
1631876115.441,908.0,905.0
1631876115.743,906.0,905.0
1631876116.043,904.0,905.0
1631876116.342,905.0,905.0
1631876116.644,905.0,905.0
1631876116.944,906.0,905.0
1631876117.243,906.0,905.0
1631876117.546,906.0,905.0
1631876117.844,906.0,905.0
1631876118.143,905.0,905.0
1631876118.447,905.0,905.0
1631876118.746,904.0,905.0
1631876119.045,905.0,905.0
1631876119.344,905.0,905.0
1631876119.647,905.0,905.0
1631876119.946,905.0,905.0
1631876120.245,905.0,905.0
1631876120.548,907.0,905.0
1631876120.847,905.0,905.0
1631876121.146,905.0,905.0
1631876121.449,905.0,905.0
1631876121.748,905.0,905.0
1631876122.047,905.0,905.0
1631876122.35,905.0,905.0
1631876122.649,906.0,905.0
1631876122.948,909.0,905.0
1631876123.247,906.0,905.0
1631876123.55,906.0,905.0
1631876123.849,906.0,905.0
1631876124.148,905.0,905.0
1631876124.451,905.0,905.0
1631876124.75,904.0,905.0
1631876125.049,907.0,905.0
1631876125.352,906.0,905.0
1631876125.651,905.0,906.0
1631876125.95,906.0,905.0
1631876126.253,905.0,905.0
1631876126.552,905.0,905.0
1631876126.851,905.0,905.0
1631876127.15,906.0,905.0
1631876127.453,906.0,905.0
1631876127.752,905.0,905.0
1631876128.052,905.0,905.0
1631876128.354,906.0,905.0
1631876128.653,905.0,905.0
1631876128.953,905.0,905.0
1631876129.255,907.0,905.0
1631876129.555,905.0,905.0
1631876129.854,906.0,905.0
1631876130.157,904.0,905.0
1631876130.456,905.0,905.0
1631876130.755,906.0,905.0
1631876131.054,906.0,905.0
1631876131.357,905.0,905.0
1631876131.656,905.0,905.0
1631876131.955,905.0,905.0
1631876132.258,906.0,905.0
1631876132.557,906.0,905.0
1631876132.856,905.0,905.0
1631876133.159,906.0,905.0
1631876133.458,905.0,905.0
1631876133.757,905.0,905.0
1631876134.06,906.0,905.0
1631876134.359,907.0,905.0
1631876134.658,905.0,905.0
