1636773535.95,21323.61,13.758
1636773536.253,18399.575,18771.189
1636773536.551,22159.669,18771.189
1636773536.85,14881.486,19148.229
1636773537.154,17942.539,18771.189
1636773537.453,16878.512,18677.78
1636773537.752,16363.307,18491.975
1636773538.055,16965.451,18215.772
1636773538.354,14407.914,18124.367
1636773538.653,16278.499,17672.235
1636773538.956,14486.158,17404.822
1636773539.255,14020.737,16705.557
1636773539.554,14881.486,16278.499
1636773539.857,12898.504,15610.693
1636773540.156,14722.529,15446.656
1636773540.455,12753.195,15122.009
1636773540.754,13640.199,14722.529
1636773541.057,14020.737,14407.914
1636773541.356,13044.812,14174.803
1636773541.655,14097.637,14020.737
1636773541.958,12252.369,13791.627
1636773542.257,15610.693,13564.876
1636773542.556,15693.144,13715.782
1636773542.859,14097.637,13791.627
1636773543.158,13340.458,13944.103
1636773543.457,13564.876,13791.627
1636773543.76,15610.693,13867.733
1636773544.059,13340.458,14097.637
1636773544.358,16533.826,14020.737
1636773544.657,12971.532,14329.941
1636773544.96,15693.144,14252.238
1636773545.259,12753.195,14564.674
1636773545.558,14097.637,14252.238
1636773545.861,12252.369,14097.637
1636773546.16,12181.794,13944.103
1636773546.459,16109.778,13791.627
1636773546.762,12680.913,14097.637
1636773547.061,15202.746,13791.627
1636773547.36,15365.068,13944.103
1636773547.663,14407.914,13867.733
1636773547.963,13867.733,14020.737
1636773548.261,12394.242,13791.627
1636773548.56,15775.886,13791.627
1636773548.863,15283.765,13944.103
1636773549.163,15528.531,14252.238
1636773549.462,13715.782,14564.674
1636773549.765,13044.812,14329.941
1636773550.064,14174.803,14407.914
1636773550.363,12680.913,14329.941
1636773550.666,14407.914,14020.737
1636773550.965,14407.914,14020.737
1636773551.264,14961.381,14097.637
1636773551.567,13044.812,14329.941
1636773551.866,12753.195,14097.637
1636773552.165,12971.532,13791.627
1636773552.464,12825.725,13564.876
1636773552.767,14407.914,13489.813
1636773553.066,14174.803,13640.199
1636773553.365,14097.637,13640.199
1636773553.668,13944.103,13791.627
1636773553.967,14174.803,13715.782
1636773554.266,14801.869,13715.782
1636773554.569,13192.127,13640.199
1636773554.868,15610.693,13715.782
1636773555.167,14252.238,13944.103
1636773555.466,13715.782,14097.637
1636773555.769,14329.941,14174.803
1636773556.068,13564.876,14174.803
1636773556.379,15365.068,14097.637
1636773556.67,15610.693,14252.238
1636773556.969,14961.381,14407.914
1636773557.268,12753.195,14486.158
1636773557.596,12680.913,14252.238
1636773557.87,13489.813,14252.238
1636773558.169,13118.343,14020.737
1636773558.484,15041.555,13867.733
1636773558.771,14020.737,14020.737
1636773559.07,16025.864,14020.737
1636773559.37,14174.803,14252.238
1636773559.697,13791.627,14097.637
1636773559.971,12753.195,13944.103
1636773560.27,12825.725,13715.782
