1632294518.183,449.000,29860.499,298.605
1632294518.191,449.000,29860.499,597.210
1632294519.321,470.000,32848.866,925.699
1632294519.621,467.000,32405.826,1249.757
1632294519.919,465.000,32113.543,1570.892
1632294520.223,463.000,31823.690,1889.129
1632294520.522,461.000,31536.239,2204.492
1632294520.821,460.000,31393.406,2518.426
1632294521.120,459.000,31251.163,2830.937
1632294521.419,458.000,31109.508,3142.032
1632294521.722,457.000,30968.436,3451.717
1632294522.021,456.000,30827.945,3759.996
1632294522.320,455.000,30688.032,4066.877
1632294522.619,455.000,30688.032,4373.757
1632294522.922,454.000,30548.693,4679.244
1632294523.221,454.000,30548.693,4984.731
1632294523.520,453.000,30409.924,5288.830
1632294523.819,452.000,30271.724,5591.547
1632294524.118,451.000,30134.089,5892.888
1632294524.421,450.000,29997.015,6192.858
1632294524.749,450.000,29997.015,6492.828
1632294525.019,450.000,29997.015,6792.798
1632294525.318,449.000,29860.499,7091.403
1632294525.634,449.000,29860.499,7390.008
1632294525.921,449.000,29860.499,7688.613
1632294526.220,449.000,29860.499,7987.218
1632294526.519,450.000,29997.015,8287.189
1632294526.846,450.000,29997.015,8587.159
1632294527.117,450.000,29997.015,8887.129
1632294527.420,451.000,30134.089,9188.470
1632294527.731,451.000,30134.089,9489.811
1632294528.018,451.000,30134.089,9791.152
1632294528.317,451.000,30134.089,10092.492
1632294528.620,451.000,30134.089,10393.833
1632294528.948,451.000,30134.089,10695.174
1632294529.218,450.000,29997.015,10995.144
1632294529.517,449.000,29860.499,11293.749
1632294529.828,448.000,29724.540,11590.995
1632294530.119,448.000,29724.540,11888.240
1632294530.418,447.000,29589.132,12184.131
1632294530.717,447.000,29589.132,12480.023
1632294531.045,446.000,29454.274,12774.566
1632294531.316,446.000,29454.274,13069.108
1632294531.619,446.000,29454.274,13363.651
1632294531.926,446.000,29454.274,13658.194
1632294532.217,445.000,29319.963,13951.393
1632294532.516,446.000,29454.274,14245.936
1632294532.815,446.000,29454.274,14540.479
1632294533.142,446.000,29454.274,14835.022
1632294533.417,446.000,29454.274,15129.564
1632294533.716,446.000,29454.274,15424.107
1632294534.027,446.000,29454.274,15718.650
1632294534.318,446.000,29454.274,16013.193
1632294534.617,446.000,29454.274,16307.735
1632294534.916,446.000,29454.274,16602.278
1632294535.244,446.000,29454.274,16896.821
1632294535.514,446.000,29454.274,17191.364
1632294535.817,445.000,29319.963,17484.563
1632294536.124,444.000,29186.195,17776.425
1632294536.415,444.000,29186.195,18068.287
1632294536.714,445.000,29319.963,18361.487
1632294537.013,445.000,29319.963,18654.686
1632294537.341,444.000,29186.195,18946.548
1632294537.615,444.000,29186.195,19238.410
1632294537.914,444.000,29186.195,19530.272
1632294538.226,443.000,29052.967,19820.802
1632294538.513,443.000,29052.967,20111.332
1632294538.816,444.000,29186.195,20403.194
1632294539.115,445.000,29319.963,20696.393
1632294539.442,445.000,29319.963,20989.593
1632294539.713,445.000,29319.963,21282.792
1632294540.012,445.000,29319.963,21575.992
1632294540.323,445.000,29319.963,21869.192
1632294540.614,445.000,29319.963,22162.391
1632294540.913,445.000,29319.963,22455.591
1632294541.212,445.000,29319.963,22748.791
1632294541.540,445.000,29319.963,23041.990
1632294541.814,445.000,29319.963,23335.190
1632294542.113,444.000,29186.195,23627.052
1632294542.424,444.000,29186.195,23918.914
1632294542.711,443.000,29052.967,24209.443
1632294543.015,443.000,29052.967,24499.973
1632294543.313,443.000,29052.967,24790.503
1632294543.641,443.000,29052.967,25081.032
1632294543.912,443.000,29052.967,25371.562
1632294544.211,443.000,29052.967,25662.092
1632294544.522,443.000,29052.967,25952.621
1632294544.813,443.000,29052.967,26243.151
1632294545.112,444.000,29186.195,26535.013
1632294545.411,444.000,29186.195,26826.875
1632294545.738,445.000,29319.963,27120.075
1632294546.013,445.000,29319.963,27413.274
1632294546.312,445.000,29319.963,27706.474
1632294546.623,445.000,29319.963,27999.674
1632294546.910,445.000,29319.963,28292.873
1632294547.213,445.000,29319.963,28586.073
1632294547.512,445.000,29319.963,28879.272
1632294547.840,444.000,29186.195,29171.134
1632294548.110,444.000,29186.195,29462.996
1632294548.409,444.000,29186.195,29754.858
1632294548.721,443.000,29052.967,29746.783
1632294549.011,443.000,29052.967,29738.708
1632294549.310,443.000,29052.967,29700.749
1632294549.609,442.000,28920.278,29665.893
1632294549.937,442.000,28920.278,29633.961
1632294550.212,442.000,28920.278,29604.926
1632294550.511,443.000,29052.967,29580.094
1632294550.822,443.000,29052.967,29556.689
1632294551.109,443.000,29052.967,29534.707
1632294551.408,444.000,29186.195,29515.474
1632294551.711,444.000,29186.195,29497.652
1632294552.038,444.000,29186.195,29481.234
1632294552.309,444.000,29186.195,29466.216
1632294552.608,444.000,29186.195,29451.198
1632294552.919,444.000,29186.195,29437.573
1632294553.210,444.000,29186.195,29423.948
1632294553.509,444.000,29186.195,29411.710
1632294553.808,444.000,29186.195,29400.855
1632294554.136,443.000,29052.967,29390.044
1632294554.410,443.000,29052.967,29380.603
1632294554.709,442.000,28920.278,29369.836
1632294555.008,442.000,28920.278,29359.069
1632294555.307,441.000,28788.122,29348.345
1632294555.607,442.000,28920.278,29338.943
1632294555.910,442.000,28920.278,29329.540
1632294556.208,442.000,28920.278,29320.138
1632294556.508,442.000,28920.278,29309.371
1632294556.807,443.000,29052.967,29299.930
1632294557.106,443.000,29052.967,29290.490
1632294557.409,443.000,29052.967,29279.679
1632294557.708,444.000,29186.195,29270.200
1632294558.007,444.000,29186.195,29260.721
1632294558.306,444.000,29186.195,29251.242
